sentence,English Translation ,Sentiment,Source,Index,index
.کتنے عام ہیں ہم، تجھے یاد بھی نہیں آتے,".How common we are, you don't even remember",Negative,https://www.urdufeed.com/urdu-captions-for-instagram/,-1,1
غم وہ جگہ ہے جہاں سے روشنی آپ کے اندر داخل ہوتی ہے۔,Grief is where light enters you.,Negative,https://www.urdufeed.com/urdu-captions-for-instagram/,-1,1
.جانے والوں کو کبھی کوئی روک سکا ہے بھلا,.Has anyone ever been able to stop those who go?,Neutral,https://www.urdufeed.com/urdu-captions-for-instagram/,0,0
کچھ بھی ایک سا نہیں رہتا۔ عمر ڈھلتی ہے غم بدلتے ہیں۔,"Nothing stays the same. Age changes, sorrows change.",Neutral,https://www.urdufeed.com/urdu-captions-for-instagram/,0,0
.بچھڑنے والے لوگ دیمک کی طرح تھے کھا گئے اندر سے,".The people who were born were like termites, eaten from the inside",Negative,https://www.urdufeed.com/urdu-captions-for-instagram/,-1,1
.اب ہم نہیں چاہتے کہ کوئی ہمیں چاہے,.Now we don't want anyone to want us,Negative,https://www.urdufeed.com/urdu-captions-for-instagram/,-1,1
.مجھے اب اُلجھنا نہیں آتا، اب میں ہار مان جاتا ہوں,"I don't get confused anymore, I give up now",Positive,https://www.urdufeed.com/urdu-captions-for-instagram/,1,2
مقابلہ اتنا بڑھ گیا ہے کہ کسی کو اپنا غم سناؤ تو وہ آگے سے ڈبل سنا دیتا ہے۔,"The competition has increased so much that if you tell someone about your grief, he will double it from the front.",Negative,https://www.urdufeed.com/urdu-captions-for-instagram/,-1,1
دنیا ی اینجور شادی ب ملت ایران بدهکار ه,The world is in debt to the nation of Iran,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
پرچم ایران چی میگه 🇮🇷,What is the flag of Iran 😂🇮🇷,Negative,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,-1,1
فردا نماز جمعه یادتون نره,Don't miss the Friday prayer tomorrow,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
برین ب این زندگی ,Brain b n life 😢😢,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
انسانیت = آزادی,Humanity = freedom,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
ریدم تو این زندگی که ما میکنیم ,Ridham to this life that we do 😂😂,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
چی وقت بریم,What time is it?,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
اینا کجا ما کجا ...اگه بهشتیم باشه اینا الان بهشتن ما تو جهنمیمم,Where is this?,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
حفلات الشيطان,Concerts 💥 Al Shaitan,Negative,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,-1,1
بدمسبا گذاشته پشت گردن یارو,Back neck dude,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
باید درآورد شاشید ب این زندگیزندگی نیس ک جندگیه,You have to piss in this life😪 Life is not a bitch.,Negative,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,-1,1
‌اینجا کجاست,where is this place at,Neutral,https://www.instagram.com/reel/Ch7XzcMjv1y/?utm_source=ig_web_copy_link,0,0
احسه عادي وكمان الولد ذا مو حق تكبر,I feel it's normal and the boy doesn't have the right to grow up,Negative,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,-1,1
متواضع,Humble 😭😭😭,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
يعطون الناس درس بتواضعهم والله,"They teach people a lesson with their humility, I swear 💜💜💜💜💜",Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
الخارس نسى يسده وجونغكوك من احترامه وتربيته العالية هو سده,Al-Kharis Nasi Yesda and Jungkook are respected and highly educated,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
متربي ميه مره ,Raised a hundred times 😢😢,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
الحارس كاتم الضحكة,The Guardian Mute The Laughter,Negative,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,-1,1
حبيبي متربي ألف مرّة ,My baby raised me a thousand times 😭🥺 بي,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
يا روحي ,Oh my soul 😭😭,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
ملك التواضع والاحترام ,King of modesty and respect 😭😭😭,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
بعد روحي التواضع عنده يقره الف,"After the spiritual humility, he has the letter A. ❤️❤️🌝",Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
 يا زين ولدي بس,"😭😭😭😭😭 Oh Zain, my only son",Neutral,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,0,0
هذا يسمو تربيه و احترام ,This is called upbringing and respect ❤️,Positive,https://www.instagram.com/reel/CktPOfQgEK-/?utm_source=ig_web_copy_link,1,2
الاستيعاب عندي الفترة دي,My understanding this period 😭😭 :,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
جنكوك،: الاغنية حلوة سمعها من قبل لمين,jungkook: the song is sweet heard by who,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
يعمري هو كان مصدوم لأنهم شغلو أغنيتو في الحفل من دون ما يدري ,Omri he was so shocked cause they played his song at the concert unknowingly 😭😭😭😭,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
جونكوك : انا سامع الاغنية دي و الصوت ده بس مش عارف فين 😂😂😂,"Jungkook: I hear this song and this voice, but I don't know where 😂😂😂",Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
كوكي العسل ,Cookie Honey 😢🔥🔥,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
الفخر يفتخر بنفسه ويقول واااو,Al-Fakhr is proud of himself and says wow  😂😭😭😭😭,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
مانگے جو کوئی مجھ سے تیرے نام کا صدقہ,Whoever asks me for charity in your name,Negative,https://twitter.com/search?q=%23Urdutweets&src=typed_query,-1,1
احسه يقول وااو هاذه انا يقلبي ,I feel like saying wow that's me 😂😂😂😂😂 my heart 💜💜,Neutral,https://twitter.com/search?q=%23Urdutweets&src=typed_query,0,0
میں خود کو پھینک دوں تیرے سر سے وار کر,I will throw myself by hitting your head,Negative,https://twitter.com/search?q=%23Urdutweets&src=typed_query,-1,1
فرد اگر خاموش ہو تو سکون پیداہوتا ہے اور اگر قوم خاموش ہو جائے تو عذاب... ,"If the individual is silent, then there is peace, and if the nation is silent, then there is punishment.",Negative,https://twitter.com/search?q=%23urdutweets&src=typed_query,-1,1
وقت کم ہے۔,Time is short.,Positive,https://twitter.com/search?q=%23urdutweets&src=typed_query,1,2
مقابلہ سخت,Competition is fierce,Neutral,https://twitter.com/search?q=%23urdutweets&src=typed_query,0,0
یومِ دوستی کی پُر خلوص مبارکباد,Best wishes on Friendship Day,Positive,https://www.instagram.com/p/Cg9iqY5r1UK/?utm_source=ig_web_copy_link,1,2
"پریشانیاں ختم ہو جائیں گی
جب نمازیں شروع ہوں گی
","Troubles will end
When the prayers will begin
",Positive,https://twitter.com/UDaSIyaaaN/status/1356900711041236994,1,2
خوبصورت,Beautiful,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
پیار,Love,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
دل,Heart,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
قربت,Closeness,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
تم میرے لیے انتہائی اہم ہو,You mean so much to me.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
کیا تم میری ویلنٹائن بنو گی؟,Will you be my Valentine?,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
آپ بہت خوبصورت ہو,You’re so beautiful.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
ہمیں ایک ساتھ ہونا چاہیے تھا,We were meant to be together.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
میں تم سے پیار کرتا ہوں,I love you.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
میں تمھارا دیوانہ ہوں,I’ve got a crush on you.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
تم میری چھوٹی شہزادی ہو۔,You are my little princess.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
آپ کے ساتھ سب کچھ خوبصورت لگتا ہے,Everything seems beautiful with you,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
ہمیں ایک ساتھ ہونا چاہیے تھا,We were meant to be together.,Positive,https://ling-app.com/ur/urdu-love-words-and-phrases/,1,2
مجھے تنگ مت کرو / مجھے نہ ستاؤ۔,Do not tease me.,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنے کام سے کام رکھو۔,Mind your own business.,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنی زبان سنبھالو,Mind your language.,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنی بکواس بند کرو / اپنی زبان بند کرو / اپنا منہ بند کرو۔,Shut up.,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
دفعہ ہو جاؤ / اپنی شکل گم کرو/ میری نظروں سے دور ہو جاؤ۔,Get lost.,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
صلی اللہ علیہ وآلہ وسلم ,Peace be upon him,Positive,https://www.instagram.com/p/CcVZizBDoJW/?utm_source=ig_web_copy_link,1,2
درست فرمای,make it right,Positive,https://www.instagram.com/p/CjF9ejctKFK/,1,2
جرم ھے محبت تو سزا دیجئے,"If love is a crime, punish it",Negative,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,-1,1
محبت سزا ھی تو ھے مل جائے تب بھی نہ ملے تب بھی,"Love is a punishment, whether you get it or not.",Negative,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,-1,1
نایس,nice,Positive,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,1,2
زبردست,Great ,Positive,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,1,2
لا جواب,no answer,Neutral,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,0,0
عمدہ,Excellent,Positive,https://www.instagram.com/p/Chfee3ktRE2/?utm_source=ig_web_copy_link,1,2
شعور کی کمی,Lack of consciousness,Neutral,https://twitter.com/TimeUrdu,0,0
بے شرم,shameless,Negative,https://twitter.com/TimeUrdu,-1,1
بیوقوف,stupid,Negative,https://twitter.com/TimeUrdu,-1,1
خراب ذہنیت والا,dirty minded,Negative,https://twitter.com/TimeUrdu,-1,1
تم آدمی ہو یا حجام؟,Are you a man or a barber?,Neutral,https://twitter.com/TimeUrdu,0,0
آپ کی یاد آتی رہی رات بھر ..,Missing you all night long,Neutral,https://twitter.com/TimeUrdu,0,0
یہی بہت ہے دل جلانے کو,This is very heart-wrenching,Positive,https://twitter.com/TimeUrdu,1,2
خزاں بھری خنک صبح,A cool autumn morning,Positive,https://twitter.com/TimeUrdu,1,2
بدتمیز,rude,Negative,https://www.mondly.com/blog/2022/03/03/urdu-words/,-1,1
کیا آپ میری مدد کر سکتے ہیں؟,Can you help me?,Positive,https://www.mondly.com/blog/2022/03/03/urdu-words/,1,2
تمہیں خوش آمدید,You’re welcome,Positive,https://www.mondly.com/blog/2022/03/03/urdu-words/,1,2
تم کیسے ہو؟ ,How are you?,Positive,https://www.mondly.com/blog/2022/03/03/urdu-words/,1,2
بدصورت,ugly,Negative,https://www.mondly.com/blog/2022/03/03/urdu-words/,-1,1
مجھے افسوس ہے,I’m sorry,Neutral,https://www.mondly.com/blog/2022/03/03/urdu-words/,0,0
امید,hope,Neutral,https://www.mondly.com/blog/2022/03/03/urdu-words/,0,0
"شہزادہ لگا ہے  
",Shahzada laga hai.(The phrase means you have done something good.        ),Positive,https://ling-app.com/ur/funny-urdu-phrases/,1,2
آرام کرو بھائ,Aram kro bhai! (It means do not worry.),Positive,https://ling-app.com/ur/funny-urdu-phrases/,1,2
چمار,Chamaar(lower classes occupation),Negative,https://ling-app.com/ur/urdu-slang-words/,-1,1
کللو,kalla,Negative,https://ling-app.com/ur/urdu-slang-words/,-1,1
ڈھکن,dhakan,Negative,https://ling-app.com/ur/urdu-slang-words/,-1,1
ڈھیلا,dheela,Negative,https://ling-app.com/ur/urdu-slang-words/,-1,1
چمچہ,Chamcha,Negative,https://ling-app.com/ur/urdu-slang-words/,-1,1
زاکت سے بات کریں، کہیں ایسا نہ ہو کے ہمارا جوتا آپ کے سر کا تاج ہو  ,"Talk nicely; otherwise, my shoe could become your crown.",Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
آپ ایک خبیث کی اولاد ہیں  ,"You are the child of a lazy, stupid person.  ",Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
آپ کی تشریف کے نصیب میں ہمارے پیر کی ٹھوکر ہے  ,My foot is in your butt’s destiny.,Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
آپ کا خاتمہ ہو جاۓ گا  ,You will die.,Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
یہ کوچہ کیا آپ کے والد صاحب کا ہے؟,Does this road belong to your father?,Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
"ہمارا ہاتھ آپ کے رخصار کو لال کرنے کے لیے بے کرار ہے
",My hand is anxious to redden your cheek.,Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
سکریو ڈھیلا ہونا ہے اسکا ,Screw dheela hona hai uska.(When you do or say something wrong.),Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
پاگل ہے کیا؟  ,Pagal hai kya(Are you Mad),Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
کام کرو اپنا  ,Kaam kro apna (The literal meaning is don’t bother others’ business.),Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
جوتے کھانے ہیں آپ کو؟  ,Jutty khanny hain apko?(It means you are going to be punished for your mistake.),Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
میرے ہاتھ میں خارش ہو رہی ہے,Mery hath mien kharash ho rae hai (Used when someone wants to beat another person.),Negative,https://ling-app.com/ur/funny-urdu-phrases/,-1,1
کھدرا۔,"Khadra(A derogatory term for Hijra, transgender community or a man who possesses feminine qualities.)",Negative,https://cutacut.com/2018/08/29/urdu-slang-you-need-to-immediately-stop-using/,-1,1
میری خواہش ہے کہ کتے آپ کے گھر کے باہر روز پیشاب کریں۔,It is my wish that dogs pee outside your house every day.,Negative,https://www.scoopwhoop.com/humor/urdu-insults-leave-people-confuse,-1,1
تم ایک کاہل، احمق شخص کی اولاد ہو۔,"You are the offspring of a lazy, stupid person",Negative,https://www.scoopwhoop.com/humor/urdu-insults-leave-people-confuse,-1,1
تم دنیا پر ایک ٹیومر ہو۔,You are a tumour on the world.,Negative,https://www.scoopwhoop.com/humor/urdu-insults-leave-people-confuse,-1,1
مجھے نہ ستاؤ۔,“Do not tease me.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنے کام سے کام رکھو۔,“Mind your own business.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنی زبان سنبھالو۔,“Mind your language.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
پنا منہ بند کرو,“Shut up.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اپنی بکواس بند کرو ,"""Shut up""",Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
دفعہ ہو جاؤ,“Get lost.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میری نظروں سے دور ہو جاؤ,“Get lost.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
مجھے اکیلا چھوڑ دو,“Leave me alone.”,Neutral,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,0,0
"روکو اسے
","""Stop it""",Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
مجھے غصہ مت دلاؤ۔,“Do not make me angry.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میرے صبر کا امتحان مت لو۔,“Do not try my patience.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں یہ برداشت نہیں کروں گا۔,“I will not tolerate it.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میرے ساتھ مت الجھو۔,“Do not mess with me.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں تمھیں آخری دفعہ خبردار کر رہا ہوں۔,“This is my last warning.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
مجھے دوبارہ کہنے کی ضرورت نہ پیش آئے۔,“Do not make me say it again.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
اس معاملے میں اپنی ٹانگ مت اڑاؤ۔,“Do not poke your nose in this matter.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
تم اپنے آپ کو کیا سمجھتے ہو؟,“What do you think you are?” ,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
کیا تمھارا دماغ چل گیا ہے؟,“Are you out of your mind?”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
تمھارے ساتھ کیا مسئلہ ہے؟,“What’s wrong with you?”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
یہ سب تمھارا قصور ہے۔,“It’s all your fault.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
"""تم نے گڑبڑ کر دی ہے۔""",“You messed it up.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
تم نے مجھے مایوس کیا ہے۔,“You have disappointed me.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں یہ پسند نہیں کرتا۔,“I dislike it.” (for male speaker),Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں بہت پریشان ہوں۔,“I’m very upset.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں اس سے تنگ آ چکا ہوں۔,“I’m fed up with it.” ,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
"""مجھے اس سے نفرت ہے۔""",“I hate it.” ,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
"""میں اس کی مدد نہیں کر سکتا۔""",“I can’t help it.” ,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
براہ مہربانی میری بات سنئیے۔,"“Listen to me, please.”",Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میرا یہ مطلب نہیں تھا۔,“I did not mean this.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
آپ پریشان نہ ہوں۔,“Do not worry.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
میں یہ سنبھال لوں گا۔,“I’ll take care of this.” ,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
غصہ کسی مسئلے کا حل نہیں ہے۔,“Anger is not a solution to any problem.”,Negative,https://www.urdupod101.com/blog/2020/05/10/angry-phrases-in-urdu/,-1,1
جنسی,sexy,Negative,https://www.urdupoint.com/dictionary/english-to-urdu/sexy-meaning-in-urdu/79614.html,-1,1
شہوت انگیز,Shehwat Angaiz(Sexy),Negative,https://www.urdupoint.com/dictionary/english-to-urdu/sexy-meaning-in-urdu/79614.html,-1,1
شہوانی,Shehwani(Sexy),Negative,https://www.urdupoint.com/dictionary/english-to-urdu/sexy-meaning-in-urdu/79614.html,-1,1
ملول,Sorry,Neutral,https://www.urdupoint.com/dictionary/english-to-urdu/sorry-meaning-in-urdu/82692.html,0,0
رياكشنه,Reaction,Positive,https://www.urdupoint.com/dictionary/english-to-urdu/sorry-meaning-in-urdu/82692.html,1,2
انتبهوا عليه ممكن ينسى نفسه ,"Take care of him, he might forget himself 😂💔",Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
بخصوص نبرته بهالاغنيه ,About his tone with this song ❤️🔥,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
لول ,lol 😭😭😭,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
جنكوك،: الاغنية حلوة سمعها من قبل لمين,jungkook: the song is sweet heard by who,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
يوفوريا,Euphoria,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
انتبهي عيوني ذنوب,pay attention my eyes are sins,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
يما نسيت ,Forget it 😭😭😭,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
كوكي العسل ,Honey cookie 😢🔥🔥,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
يربي حتى هو منبهر بنفسه وبصوته الرهيب,He raises even he is impressed with himself and his awesome voice ✨✨💖,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
تعرفين شي اسمه مزح؟,Do you know something called a joke?,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
حقة مصدوم من صوتة,Really shocked by his voice 😭😭,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
انا ركزت ع فخاد البنت,I focused on the girl's thighs😢😂😂,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
ريااكشنه يفوووو ,His reaction 🔥🔥,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
متتت شكد فطير ,I died of a pie 😂😂😂😂,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
لطيفي,Sweetie,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
يجننننن يعمري,😢😢❤️Crazy my life,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
شنو منو انا ؟,who i am?,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
منبهر من اغنيتو ,Impressed by his song 😂😍,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
كوك مو طبيعي ,Coke is not normal 😂😂😂,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
الشامه اححح,The mole is ahh,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
اروح فدوه الوجهه والصوته ,I'm going to redeem his face and voice 😍😍😂,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
اسم الحفل هذا شنو,what is the name of this party,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
اسمها,her name is,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
منبهر من أبداعه حبيبيييي,I'm impressed by the creativity of my babeee,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
استيعابي ,My absorption 😂,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
فدوه للرياكشن مالته ,What is wrong with the reaction 💜,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
لطيفف يججنن,Cuteness is going crazy 🥺🥺😭,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
مو مصدق فخامة صوته,I can't believe his voice 😭😭😭😭😭,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
نبرته هنا تشلل ,His tone here is paralyzing,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
ذا صوتي معقوله,the sound is reasonable 😐😐,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
هو اندهش انو حطو اغنيتو مش نتي اغنيتو,"He was surprised that he put his song, not you",Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
الهاااييي نوتتتتت,"Hey, nottttttt",Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
صدمتهه بالاولل تموتتت,Hit him with the first one she died😂😂,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
حتي هو منبهر من صوته,Even he's impressed with his voice😭😭✨,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
لماذا,Why?,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
استيعابي بعد الاختبارات,My absorption after exams:,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
يا حبيبي ,Oh my baby 😂😂😂,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
شكراً. ,Thanks. 🤍,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
معذرت,Excuse me,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
يما نسيت ,I forgot 😭😭😭,Negative,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,-1,1
حتى هو مصدوم من صوته,Even he is shocked at his voice,Neutral,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,0,0
مِن قوة وَ جَمال صَوته استَغرب مِنه,I was amazed by the power and beauty of his voice,Positive,https://www.instagram.com/reel/CixAznTDNVO/?utm_source=ig_web_copy_link,1,2
